# ===============================
# axis_0: T-Motor MN4006-23 KV380
# ===============================

result:
	k = 0.02237971
	b = -0.00778521

current force

0.4A 7g

0.8A 12g

1.2A 16g

1.6A 21g

2.0A 27g

2.4A 31g

2.8A 36g

3.2A 41g

3.6A 45.5g

4.0A 50g

4.4A 55g

4.8A 59.5g

5.2A 64g

5.6A 69g

6.0A 73g

6.4A 78g

6.8A 82g

7.2A 87g

7.6A 92g

8.0A 96g

8.4A 100g

8.8A 105g

9.2A 108g

9.6A 114g

10.0A 119g

10.4A 123g

10.8A 128g

11.2A 132g

11.6A 136g

12.0A 139g

12.4A 144g

12.8A 149g

13.2A 153g
